"Compound";"Code";"site";"Rainfallevent";"conc_water"
"453";"Diazinon";"CH50";"F";"3";0.0121358827231952
"454";"Diazinon";"RO17";"Q";"1";0.00512874304290289
"455";"Diazinon";"CH46";"C";"3";0.000720418125048643
"456";"Diazinon";"CH72";"F";"B";0.00290846733261616
"457";"Diazinon";"CH60";"N";"3";0.00748591505555806
"458";"Diazinon";"CH85";"P";"B";0.0234767816139903
"459";"Diazinon";"CH30";"H";"2";0.00438534047853114
"460";"Diazinon";"CH62";"Q";"3";0.00646153555872598
"461";"Diazinon";"CH65";"S";"3";0.0414367734007836
"462";"Diazinon";"CH70";"D";"B";0.0451996996312113
"463";"Diazinon";"CH22";"B";"2";0.000779651711423236
"464";"Diazinon";"CH36";"N";"2";0.00398449101911219
"465";"Diazinon";"CH33";"K";"2";0.00545710309397604
"466";"Diazinon";"CH34";"L";"2";0.00274392032152185
"467";"Diazinon";"RO9";"H";"1";0.00180499055435472
"468";"Diazinon";"RO4";"D";"1";0.00166947295672455
"469";"Diazinon";"CH71";"E";"B";0.0083703317301708
"470";"Diazinon";"CH82";"M";"B";0.00679812258120248
"471";"Diazinon";"CH28";"F";"2";0.0011420420487595
"472";"Diazinon";"CH25";"D";"2";0.0105961906493413
"473";"Diazinon";"CH56";"K";"3";0.0168163488192209
"474";"Diazinon";"CH53";"H";"3";0.00401882932683531
"475";"Diazinon";"CH57";"L";"3";0.000525560440432854
"476";"Diazinon";"RO16";"P";"1";0.00858542146725827
"477";"Diazinon";"CH68";"B";"B";0.00293667230063387
"478";"Diazinon";"CH84";"O";"B";0.000255667137355737
"479";"Diazinon";"CH69";"C";"B";0.000252215008426182
"480";"Diazinon";"RO7";"F";"1";0.00162672693897412
"481";"Diazinon";"CH83";"N";"B";0.00313091568657511
"482";"Diazinon";"CH49";"E";"3";0.0209604973378304
"483";"Diazinon";"CH43";"A";"3";0.00585829992137607
"484";"Diazinon";"CH39";"Q";"2";0.031936961495507
"485";"Diazinon";"CH76";"H";"B";0.0223400021341589
"486";"Diazinon";"CH23";"C";"2";0.00050785032849286
"487";"Diazinon";"CH93";"T";"B";0.0118121104229816
"488";"Diazinon";"CH27";"E";"2";0.0200078050636414
"489";"Diazinon";"RO11";"K";"1";0.00243347469791118
"490";"Diazinon";"CH44";"B";"3";0.00295605179331996
"491";"Diazinon";"CH29";"G";"2";0.0131319742713567
"492";"Diazinon";"CH42";"T";"2";0.0550843714848478
"493";"Diazinon";"CH21";"A";"2";0.00172551129510814
"494";"Diazinon";"CH78";"K";"B";0.00161895671507575
"495";"Diazinon";"CH67";"A";"B";0.00181603707585457
"496";"Diazinon";"CH51";"G";"3";0.0323998075247534
"497";"Diazinon";"CH88";"R";"B";0.000528089973020692
"498";"Diazinon";"CH54";"I";"3";0.00423299194255692
"499";"Diazinon";"CH58";"M";"3";0.0376166301551218
"500";"Diazinon";"CH35";"M";"2";0.000306307726387634
"501";"Diazinon";"CH80";"L";"B";0.000565217134268005
"506";"Dichlorvos";"CH87";"Q";"B";0.0186539774632614
"507";"Dichlorvos";"CH82";"M";"B";0.00199025911901563
"508";"Dichlorvos";"CH58";"M";"3";5.60780696590945e-05
"509";"Dichlorvos";"CH47";"D";"3";0.000153272057806619
"510";"Dichlorvos";"CH56";"K";"3";0.0014595122768997
"511";"Dichlorvos";"CH62";"Q";"3";0.000869167676710427
"512";"Difenoconazol";"CH21";"A";"2";0.00068308903203763
"513";"Difenoconazol";"CH43";"A";"3";0.000382661748789443
"514";"Dimethenamid";"CH66";"T";"3";0.0444922998671539
"515";"Dimethenamid";"RO7";"F";"1";0.00173861592961237
"516";"Dimethenamid";"CH42";"T";"2";0.000324694432773242
"517";"Dimethenamid";"CH54";"I";"3";0.000319145054898177
"518";"Dimethenamid";"CH38";"P";"2";0.0270326214441905
"519";"Dimethenamid";"RO8";"G";"1";0.00172328688200015
"520";"Dimethenamid";"CH93";"T";"B";0.024142197459868
"521";"Dimethenamid";"CH85";"P";"B";0.220722034835059
"522";"Dimethenamid";"CH51";"G";"3";0.00271351365440156
"523";"Dimethenamid";"CH37";"O";"2";0.0106847569498327
"524";"Dimethenamid";"CH77";"I";"B";0.00034414621151225
"525";"Dimethenamid";"RO15";"O";"1";0.00274070893953292
"526";"Dimethenamid";"CH28";"F";"2";0.000724395769729597
"527";"Dimethenamid";"CH61";"P";"3";1.47977226747746
"528";"Dimethenamid";"CH74";"G";"B";0.000163680851343488
"529";"Dimethenamid";"CH72";"F";"B";0.000248135971353409
"530";"Dimethenamid";"CH50";"F";"3";0.000550818527489719
"531";"Dimethenamid";"RO16";"P";"1";0.0130285347643359
"532";"Dimethenamid";"CH53";"H";"3";0.00533001614688198
"533";"Dimethenamid";"CH84";"O";"B";0.000248659637829885
"534";"Dimethenamid";"CH49";"E";"3";0.000435598241675265
"535";"Dimethenamid";"CH29";"G";"2";0.00578999334852369
"536";"Dimethoat";"CH38";"P";"2";0.00885371733253822
"537";"Dimethoat";"CH78";"K";"B";0.00106082808026076
"538";"Dimethoat";"CH61";"P";"3";0.000731972680518064
"539";"Dimethoat";"CH74";"G";"B";0.00243570013016772
"540";"Dimethoat";"CH69";"C";"B";0.1793124457069
"541";"Dimethoat";"CH50";"F";"3";0.00061628676758407
"542";"Dimethoat";"RO3";"C";"1";0.00143539875941871
"543";"Dimethoat";"CH29";"G";"2";0.00160048915968314
